#Thousand Word Corpus courtesy of ASBusinessMagnet
#Feel free to modify to your own accord

#File format: word,sPoint,nPoint,yPoint,mPoint
крик,4,3,1,2
неожиданный,4,2,3,1
пара,4,1,2,3
чириканье,4,1,3,2
забывать,4,2,3,1
бог,4,1,3,2
движение,4,3,2,1
подмигивание,4,1,2,3
вера,4,1,3,2
ребяческий,4,3,2,1
вкус,4,3,2,1
рост,4,3,2,1
полночь,4,2,3,1
восхождение,4,3,2,1
горьковато-сладкий,4,2,1,3
картина,4,1,2,3
горе,4,1,3,2
благословлять,4,1,3,2
исследовать,4,3,1,2
присутствие,4,1,2,3
рассеянный,4,3,2,1
верёвка,4,1,3,2
наслаждаться,4,1,3,2
реветь,4,3,1,2
отдых,4,3,1,2
зависть,4,1,2,3
обнаружение,4,3,1,2
обаятельный,4,1,2,3
больной,4,2,3,1
ходьба,4,1,3,2
закутанный,4,2,3,1
листья,4,3,2,1
нервный,4,1,3,2
ожидание,4,2,3,1
фотография,4,1,2,3
комплимент,4,2,1,3
отказ,4,1,2,3
волнение,4,1,3,2
шаги,4,1,3,2
оставаться,4,1,2,3
парализованный,4,1,3,2
наружный,4,1,3,2
свет,4,3,1,2
бессильный,4,3,2,1
другой,4,2,1,3
осветлять,4,1,3,2
повтор,4,2,3,1
слушать,4,2,1,3
тоска,4,2,1,3
жена,4,2,1,3
бриз,4,1,3,2
расставание,4,1,2,3
яркий,4,1,3,2
дети,4,2,1,3
пирог,4,3,2,1
путешествовать,4,3,1,2
дорогой,4,1,2,3
восторг,4,2,1,3
непонятный,4,2,3,1
обнимашки,4,1,2,3
неудача,4,1,3,2
лирика,4,2,1,3
озадаченный,4,2,3,1
вспоминать,4,2,1,3
ласка,4,1,2,3
мысли,4,2,1,3
сверчки,4,3,1,2
везение,4,2,3,1
сцепление,4,1,2,3
объятия,4,1,2,3
милый,2,4,1,3
пушистый,3,4,2,1
чистый,2,4,3,1
конфеты,3,4,2,1
покупки,2,4,1,3
щенок,2,4,1,3
котёнок,2,4,1,3
облака,3,4,2,1
помада,1,4,2,3
парфе,2,4,1,3
клубника,3,4,2,1
розовый,2,4,1,3
шоколад,2,4,1,3
сердцебиение,1,4,2,3
поцелуй,1,4,2,3
мелодия,2,4,1,3
бантик,3,4,1,2
резвый,2,4,1,3
тук-тук,2,4,1,3
кавайный,2,4,1,3
юбка,3,4,1,2
щёки,3,4,1,2
е-мейл,2,4,1,3
липкий,3,4,2,1
энергичный,2,4,1,3
блестящий,3,4,2,1
грызть,3,4,2,1
фантазия,1,4,2,3
сахар,3,4,2,1
хихикать,3,4,1,2
зефир,3,4,2,1
прыгать,3,4,1,2
скакание,3,4,1,2
мир,3,4,1,2
вращение,3,4,1,2
вертеть,3,4,1,2
леденец,3,4,2,1
пуф,3,4,2,1
пузырьки,3,4,1,2
шёпот,3,4,1,2
лето,3,4,1,2
водопад,2,4,3,1
купальник,3,4,1,2
ваниль,3,4,2,1
наушники,3,4,1,2
игры,3,4,1,2
носки,3,4,1,2
волосы,2,4,1,3
песочница,3,4,1,2
пижама,1,4,3,2
одеяло,1,4,3,2
молоко,3,4,2,1
губки,3,4,2,1
злость,3,4,1,2
папа,3,4,1,2
валентинка,2,4,1,3
мышь,2,4,3,1
свист,3,4,1,2
жмяк,3,4,1,2
кролик,2,4,1,3
аниме,2,4,1,3
прыжок,3,4,1,2
причина,1,4,3,2
постижение,1,4,2,3
грубый,3,4,2,1
пировать,1,4,2,3
оплётка,2,4,1,3
вызывать,1,4,3,2
задира,2,4,3,1
отвращение,3,4,2,1
бам,3,4,2,1
безумный,3,4,2,1
кролик,2,4,3,1
косички,2,4,1,3
качаться,3,4,1,2
иностранный,1,4,2,3
паста,1,4,2,3
манга,2,4,1,3
ненавидеть,2,4,3,1
браслет,1,4,2,3
молва,2,4,3,1
задыхаться,1,4,2,3
поднос,1,4,2,3
хвостик,2,4,1,3
обёртка,2,4,1,3
отрешение,1,4,3,2
море,1,4,3,2
разрешение,1,4,3,2
объяснение,1,4,2,3
пляж,1,4,3,2
отрыжка,3,4,2,1
шутка,2,4,3,1
моментальный,1,4,2,3
остракизм,1,4,3,2
исключение,1,4,3,2
пшеница,2,4,3,1
гладкий,3,4,2,1
душ,1,4,2,3
задумчивый,1,4,2,3
птица,2,4,3,1
компетентный,1,4,2,3
бакенбарды,2,4,1,3
бум,3,4,2,1
ломать,3,4,2,1
подарок,2,4,1,3
нелогичный,1,4,3,2
незрелый,1,4,3,2
кукла,1,4,2,3
детектив,3,4,2,1
зонтик,1,4,2,3
сугой,2,4,1,3
жест,3,4,1,2
корабль,1,4,3,2
волны,1,4,3,2
беспокоить,2,4,3,1
обдумывать,1,4,3,2
бутылки,1,4,3,2
ночёвка,1,4,3,2
неправильно,2,4,3,1
касаться,1,4,2,3
существенный,3,4,2,1
прерывание,1,4,3,2
взаимность,1,4,3,2
освистывать,2,4,3,1
язык,1,4,2,3
беглый,1,4,2,3
неуместный,1,4,3,2
объяснение,3,4,2,1
предавать,2,4,3,1
подозрительный,3,4,2,1
лиса,2,4,3,1
замедленный,1,4,3,2
извлекать,1,4,3,2
отсутствие,1,4,3,2
берег,1,4,3,2
тарабарщина,1,4,2,3
шампунь,1,4,2,3
ухмылка,3,4,1,2
игривый,2,4,3,1
бака,2,4,1,3
кукуруза,2,4,3,1
мим,3,4,1,2
джайв,2,4,3,1
лес,2,4,3,1
анекдот,2,4,3,1
интернет,2,4,1,3
плаксивый,3,4,2,1
сжимать,3,4,1,2
чемодан,1,4,2,3
организация,1,4,2,3
кромсать,2,4,3,1
луч,3,4,1,2
бить,3,4,1,2
сюрприз,2,4,1,3
майонез,3,4,2,1
конфликт,1,4,3,2
кексы,3,4,2,1
гигиена,1,4,2,3
разумный,1,4,2,3
возмутительный,1,4,3,2
тост,3,4,2,1
яйца,3,4,2,1
инопланетянин,1,4,2,3
дым,3,4,1,2
эмоджи,2,4,1,3
оскорбление,2,4,3,1
цветистый,1,4,3,2
трап,3,4,1,2
умный,1,4,2,3
поле,2,4,3,1
выводить,3,4,2,1
онлайн,2,4,1,3
громить,3,4,2,1
прокатка,1,4,3,2
гав,3,4,2,1
пощёчина,2,4,3,1
насильственный,3,4,2,1
сообщение,2,4,1,3
немой,3,4,1,2
завернутый,1,4,3,2
шантаж,2,4,3,1
подушка,1,4,3,2
лошадь,2,4,3,1
бег,3,4,1,2
ремень,3,4,1,2
листы,1,4,3,2
щётка,1,4,2,3
злоупотребление,2,4,3,1
проступок,2,4,3,1
ожерелье,1,4,2,3
лай,2,4,1,3
собственный,1,4,3,2
текст,2,4,1,3
клевета,2,4,3,1
посмеиваться,3,4,1,2
парикмахер,2,4,1,3
мыло,1,4,2,3
бесшумный,3,4,1,2
обвинение,2,4,3,1
собака,2,4,3,1
кошка,2,4,3,1
невозможный,1,4,3,2
решимость,2,1,4,3
самоубийство,3,1,4,2
воображение,3,1,4,2
скрытный,3,2,4,1
жизненность,1,3,4,2
существование,2,1,4,3
сверкающий,3,2,4,1
багровый,3,2,4,1
вихрь,3,2,4,1
послеобраз,3,2,4,1
головокружение,1,3,4,2
дезориентация,3,1,4,2
сущность,2,1,4,3
атмосфера,2,1,4,3
небосвод,2,1,4,3
смятение,3,2,4,1
загрязнение,3,2,4,1
интеллектуальный,2,1,4,3
анализ,2,1,4,3
энтропия,1,2,4,3
оживлённый,3,2,4,1
сверхъестественный,3,2,4,1
несовместимый,2,1,4,3
гнев,3,2,4,1
ниспосланный,2,1,4,3
бойня,3,2,4,1
философия,2,1,4,3
непостоянный,3,1,4,2
настойчивый,3,1,4,2
аура,2,1,4,3
неустойчивый,3,1,4,2
инферно,3,2,4,1
неспособный,3,2,4,1
судьба,2,1,4,3
непогрешимый,2,1,4,3
мучительный,3,1,4,2
расхождение,3,1,4,2
неконтролируемый,3,1,4,2
экстремальный,2,1,4,3
убегать,3,2,4,1
мечта,2,1,4,3
катастрофа,3,1,4,2
живописный,3,1,4,2
пышущий,1,3,4,2
вопрос,1,2,4,3
нагноение,3,2,4,1
предосуждение,2,1,4,3
клетка,1,2,4,3
взрываться,2,3,4,1
наслаждение,1,3,4,2
похоть,1,3,4,2
ощущение,1,3,4,2
кульминация,1,3,4,2
электричество,1,2,4,3
отрекаться,3,1,4,2
презирать,3,2,4,1
бесконечный,2,1,4,3
вечность,2,1,4,3
время,2,1,4,3
вселенная,2,1,4,3
нескончаемый,2,1,4,3
капли,3,1,4,2
жаждать,1,3,4,2
несдержанный,3,1,4,2
пейзаж,2,1,4,3
портрет,2,1,4,3
путешествие,3,1,4,2
скудный,3,1,4,2
беспокойство,3,2,4,1
пугающий,3,1,4,2
ужас,3,1,4,2
меланхолия,3,1,4,2
проницательность,2,1,4,3
искупление,3,1,4,2
дышать,1,3,4,2
пленник,3,1,4,2
желание,1,3,4,2
кладбище,3,2,4,1
орион,1,3,4,2
громыхание,2,3,4,1
медаль,2,3,4,1
колеблющийся,3,1,4,2
крошить,1,3,4,2
атмосфера,1,2,4,3
ядерный,1,2,4,3
геркулес,1,3,4,2
пролиферировать,2,3,4,1
дефицитный,3,1,4,2
загадка,1,3,4,2
захватнический,2,3,4,1
подобие,3,2,4,1
пропасть,1,2,4,3
расформировка,1,3,4,2
самопроизвольный,1,3,4,2
иллюминация,3,2,4,1
вопрос,1,2,4,3
допрос,1,2,4,3
предположение,1,2,4,3
структурированный,1,2,4,3
логический,1,2,4,3
фундаментальный,2,3,4,1
аромат,1,2,4,3
лезвие,2,3,4,1
первоначальный,3,2,4,1
установленный,2,1,4,3
запах,1,2,4,3
признак,2,3,4,1
дух,2,1,4,3
резка,2,3,4,1
тайный,1,3,4,2
вызов,3,1,4,2
тяжесть,2,1,4,3
выкуп,3,1,4,2
афродита,1,3,4,2
иллюзия,2,1,4,3
колебаться,2,1,4,3
фонарь,3,2,4,1
нервы,3,2,4,1
загадочный,1,3,4,2
нежелательный,2,3,4,1
принцип,1,2,4,3
вместилище,1,2,4,3
приз,2,3,4,1
ручка,2,3,4,1
интимный,1,3,4,2
расходиться,1,3,4,2
недействительный,1,2,4,3
раскалённый,3,2,4,1
запрос,1,2,4,3
материал,1,2,4,3
смак,1,3,4,2
блестящий,2,1,4,3
край,2,3,4,1
блистать,3,2,4,1
исчезновение,1,3,4,2
соединяться,2,3,4,1
непостижимый,1,3,4,2
пробуждение,1,3,4,2
природный,2,3,4,1
ураган,3,1,4,2
диплом,2,3,4,1
извинения,3,1,4,2
осуждение,3,2,4,1
нож,2,3,4,1
неопрятность,3,2,4,1
наблюдение,2,3,4,1
консервированный,2,3,4,1
необитаемый,2,3,4,1
бездна,1,2,4,3
противодействие,3,2,4,1
усиливать,3,1,4,2
пробуждать,1,3,4,2
возмущение,3,2,4,1
последовательный,1,2,4,3
ползать,2,1,4,3
инсинуация,2,3,4,1
достигать,2,3,4,1
пароль,1,3,4,2
замкнутый,1,3,4,2
террор,3,1,4,2
квант,1,2,4,3
грязь,3,2,4,1
изображать,3,1,4,2
эдип,1,3,4,2
общение,1,3,4,2
адрес,2,3,4,1
воздействовать,2,3,4,1
выход,1,2,4,3
магнитный,2,1,4,3
трофей,2,3,4,1
вихрь,3,2,4,1
окаменевший,3,2,4,1
описывать,3,1,4,2
детонировать,2,3,4,1
неизбежный,3,1,4,2
привлекать,2,1,4,3
урегулированный,1,2,4,3
символизм,2,3,4,1
замысловатость,2,1,4,3
льющийся,1,2,4,3
невероятный,1,2,4,3
нетронутый,2,3,4,1
колоссальный,1,2,4,3
неподвижный,3,1,4,2
шторм,3,1,4,2
взрыв,2,3,4,1
алчный,1,3,4,2
криминальный,2,3,4,1
прибор,1,2,4,3
каскад,1,2,4,3
перетолковывание,1,3,4,2
искажать,1,3,4,2
доисторический,2,3,4,1
